bbm_id,bbm_name,spotrac,espn,bref,pipm,player_id,Draft,carmelo
3640,Anthony Davis,Anthony Davis,Anthony Davis,Anthony Davis,Anthony Davis,/players/d/davisan02.html,2012 (Pick 1),Anthony Davis
3001,James Harden,James Harden,James Harden,James Harden,James Harden,/players/h/hardeja01.html,2009 (Pick 3),James Harden
5052,Karl-Anthony Towns,Karl-Anthony Towns,Karl-Anthony Towns,Karl-Anthony Towns,Karl-Anthony Towns,/players/t/townska01.html,2015 (Pick 1),Karl-Anthony Towns
2718,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,Kevin Durant,/players/d/duranke01.html,2007 (Pick 2),Kevin Durant
3377,Kawhi Leonard,Kawhi Leonard,Kawhi Leonard,Kawhi Leonard,Kawhi Leonard,/players/l/leonaka01.html,2011 (Pick 15),Kawhi Leonard
2999,Stephen Curry,Stephen Curry,Stephen Curry,Stephen Curry,Stephen Curry,/players/c/curryst01.html,2009 (Pick 7),Stephen Curry
3930,Nikola Jokic,Nikola Jokic,Nikola Jokic,Nikola Jokic,Nikola Jokic,/players/j/jokicni01.html,2015 (Pick 41),Nikola Jokic
3701,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,/players/a/antetgi01.html,2013 (Pick 15),Giannis Antetokounmpo
3542,Damian Lillard,Damian Lillard,Damian Lillard,Damian Lillard,Damian Lillard,/players/l/lillada01.html,2012 (Pick 6),Damian Lillard
3357,Jimmy Butler,Jimmy Butler,Jimmy Butler,Jimmy Butler,Jimmy Butler,/players/b/butleji01.html,2011 (Pick 30),Jimmy Butler
2011,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,/players/j/jamesle01.html,2003 (Pick 1),LeBron James
2464,Chris Paul,Chris Paul,Chris Paul,Chris Paul,Chris Paul,/players/p/paulch01.html,2005 (Pick 4),Chris Paul
2848,Kevin Love,Kevin Love,Kevin Love,Kevin Love,Kevin Love,/players/l/loveke01.html,2008 (Pick 5),Kevin Love
3111,Paul George,Paul George,Paul George,Paul George,Paul George,/players/g/georgpa01.html,2010 (Pick 10),Paul George
2872,Russell Westbrook,Russell Westbrook,Russell Westbrook,Russell Westbrook,Russell Westbrook,/players/w/westbru01.html,2008 (Pick 4),Russell Westbrook
3714,Victor Oladipo,Victor Oladipo,Victor Oladipo,Victor Oladipo,Victor Oladipo,/players/o/oladivi01.html,2013 (Pick 2),Victor Oladipo
3916,Joel Embiid,Joel Embiid,Joel Embiid,Joel Embiid,Joel Embiid,/players/e/embiijo01.html,2016 (Pick 3),Joel Embiid
3369,Kyrie Irving,Kyrie Irving,Kyrie Irving,Kyrie Irving,Kyrie Irving,/players/i/irvinky01.html,2011 (Pick 1),Kyrie Irving
5271,Ben Simmons,Ben Simmons,Ben Simmons,Ben Simmons,Ben Simmons,/players/s/simmobe01.html,2017 (Pick 1),Ben Simmons
3166,John Wall,John Wall,John Wall,John Wall,John Wall,/players/w/walljo01.html,2010 (Pick 1),John Wall
3729,Rudy Gobert,Rudy Gobert,Rudy Gobert,Rudy Gobert,Rudy Gobert,/players/g/goberru01.html,2013 (Pick 27),Rudy Gobert
3004,Jrue Holiday,Jrue Holiday,Jrue Holiday,Jrue Holiday,Jrue Holiday,/players/h/holidjr01.html,2009 (Pick 17),Jrue Holiday
2615,Kyle Lowry,Kyle Lowry,Kyle Lowry,Kyle Lowry,Kyle Lowry,/players/l/lowryky01.html,2006 (Pick 24),Kyle Lowry
3551,Khris Middleton,Khris Middleton,Khris Middleton,Khris Middleton,Khris Middleton,/players/m/middlkh01.html,2012 (Pick 39),Khris Middleton
5002,Devin Booker,Devin Booker,Devin Booker,Devin Booker,Devin Booker,/players/b/bookede01.html,2015 (Pick 13),Devin Booker
3114,Eric Bledsoe,Eric Bledsoe,Eric Bledsoe,Eric Bledsoe,Eric Bledsoe,/players/b/bledser01.html,2010 (Pick 18),Eric Bledsoe
2572,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,/players/a/aldrila01.html,2006 (Pick 2),LaMarcus Aldridge
3439,Bradley Beal,Bradley Beal,Bradley Beal,Bradley Beal,Bradley Beal,/players/b/bealbr01.html,2012 (Pick 3),Bradley Beal
3405,Kemba Walker,Kemba Walker,Kemba Walker,Kemba Walker,Kemba Walker,/players/w/walkeke02.html,2011 (Pick 9),Kemba Walker
5460,Donovan Mitchell,Donovan Mitchell,Donovan Mitchell,Donovan Mitchell,Donovan Mitchell,/players/m/mitchdo01.html,2017 (Pick 13),Donovan Mitchell
2711,Mike Conley,Mike Conley,Mike Conley,Mike Conley,Mike Conley,/players/c/conlemi01.html,2007 (Pick 4),Mike Conley
5043,Kristaps Porzingis,Kristaps Porzingis,Kristaps Porzingis,Kristaps Porzingis,Kristaps Porzingis,/players/p/porzikr01.html,2015 (Pick 4),Kristaps Porzingis
3464,Andre Drummond,Andre Drummond,Andre Drummond,Andre Drummond,Andre Drummond,/players/d/drumman01.html,2012 (Pick 9),Andre Drummond
3367,Tobias Harris,Tobias Harris,Tobias Harris,Tobias Harris,Tobias Harris,/players/h/harrito02.html,2011 (Pick 19),Tobias Harris
3731,Otto Porter,Otto Porter Jr.,Otto Porter Jr.,Otto Porter,Otto Porter,/players/p/porteot01.html,2013 (Pick 3),Otto Porter Jr.
5716,Deandre Ayton,Deandre Ayton,Deandre Ayton,Deandre Ayton,DeAndre Ayton,/players/a/aytonde01.html,2018 (Pick 1),Deandre Ayton
3404,Nikola Vucevic,Nikola Vucevic,Nikola Vucevic,Nikola Vucevic,Nikola Vucevic,/players/v/vucevni01.html,2011 (Pick 16),Nikola Vucevic
3487,Draymond Green,Draymond Green,Draymond Green,Draymond Green,Draymond Green,/players/g/greendr01.html,2012 (Pick 35),Draymond Green
5046,Josh Richardson,Josh Richardson,Josh Richardson,Josh Richardson,Josh Richardson,/players/r/richajo01.html,2015 (Pick 40),Josh Richardson
2722,Marc Gasol,Marc Gasol,Marc Gasol,Marc Gasol,Marc Gasol,/players/g/gasolma01.html,2007 (Pick 48),Marc Gasol
3908,Clint Capela,Clint Capela,Clint Capela,Clint Capela,Clint Capela,/players/c/capelca01.html,2014 (Pick 25),Clint Capela
5345,Jamal Murray,Jamal Murray,Jamal Murray,Jamal Murray,Jamal Murray,/players/m/murraja01.html,2016 (Pick 7),Jamal Murray
3162,Gordon Hayward,Gordon Hayward,Gordon Hayward,Gordon Hayward,Gordon Hayward,/players/h/haywago01.html,2010 (Pick 9),Gordon Hayward
3923,Gary Harris,Gary Harris,Gary Harris,Gary Harris,Gary Harris,/players/h/harriga01.html,2014 (Pick 19),Gary Harris
5465,John Collins,John Collins,John Collins,John Collins,John Collins,/players/c/collijo01.html,2017 (Pick 19),John Collins
3766,Robert Covington,Robert Covington,Robert Covington,Robert Covington,Robert Covington,/players/c/covinro01.html,,Robert Covington
3153,DeMarcus Cousins,DeMarcus Cousins,DeMarcus Cousins,DeMarcus Cousins,DeMarcus Cousins,/players/c/couside01.html,2010 (Pick 5),DeMarcus Cousins
3374,Enes Kanter,Enes Kanter,Enes Kanter,Enes Kanter,Enes Kanter,/players/k/kanteen01.html,2011 (Pick 3),Enes Kanter
2824,Danilo Gallinari,Danilo Gallinari,Danilo Gallinari,Danilo Gallinari,Danilo Gallinari,/players/g/gallida01.html,2008 (Pick 6),Danilo Gallinari
3021,Jeff Teague,Jeff Teague,Jeff Teague,Jeff Teague,Jeff Teague,/players/t/teaguje01.html,2009 (Pick 19),Jeff Teague
5412,Taurean Prince,Taurean Prince,Taurean Prince,Taurean Waller-Prince,Taurean Waller-Prince,/players/p/princta02.html,2016 (Pick 12),Taurean Prince
5053,Myles Turner,Myles Turner,Myles Turner,Myles Turner,Myles Turner,/players/t/turnemy01.html,2015 (Pick 11),Myles Turner
5454,Lauri Markkanen,Lauri Markkanen,Lauri Markkanen,Lauri Markkanen,Lauri Markkanen,/players/m/markkla01.html,2017 (Pick 7),Lauri Markkanen
5450,Jayson Tatum,Jayson Tatum,Jayson Tatum,Jayson Tatum,Jayson Tatum,/players/t/tatumja01.html,2017 (Pick 3),Jayson Tatum
3409,Nikola Mirotic,Nikola Mirotic,Nikola Mirotic,Nikola Mirotic,Nikola Mirotic,/players/m/mirotni01.html,2011 (Pick 23),Nikola Mirotic
3901,Kyle Anderson,Kyle Anderson,Kyle Anderson,Kyle Anderson,Kyle Anderson,/players/a/anderky01.html,2014 (Pick 30),Kyle Anderson
5468,Jarrett Allen,Jarrett Allen,Jarrett Allen,Jarrett Allen,Jarrett Allen,/players/a/allenja01.html,2017 (Pick 22),Jarrett Allen
2810,Nicolas Batum,Nicolas Batum,Nicolas Batum,Nicolas Batum,Nicolas Batum,/players/b/batumni01.html,2008 (Pick 25),Nicolas Batum
3402,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,/players/v/valanjo01.html,2011 (Pick 5),Jonas Valanciunas
2730,Al Horford,Al Horford,Al Horford,Al Horford,Al Horford,/players/h/horfoal01.html,2007 (Pick 3),Al Horford
5364,Buddy Hield,Buddy Hield,Buddy Hield,Buddy Hield,Buddy Hield,/players/h/hieldbu01.html,2016 (Pick 6),Buddy Hield
5658,Luka Doncic,Luka Doncic,Luka Doncic,Luka Doncic,Luka Doncic,/players/d/doncilu01.html,2018 (Pick 3),Luka Doncic
3046,Ricky Rubio,Ricky Rubio,Ricky Rubio,Ricky Rubio,Ricky Rubio,/players/r/rubiori01.html,2009 (Pick 5),Ricky Rubio
3006,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,/players/d/derozde01.html,2009 (Pick 9),DeMar DeRozan
3399,Klay Thompson,Klay Thompson,Klay Thompson,Klay Thompson,Klay Thompson,/players/t/thompkl01.html,2011 (Pick 11),Klay Thompson
3723,C.J. McCollum,C.J. McCollum,CJ McCollum,C.J. McCollum,C.J. McCollum,/players/m/mccolcj01.html,2013 (Pick 10),CJ McCollum
5036,Larry Nance Jr.,Larry Nance Jr.,Larry Nance Jr.,Larry Nance,Larry Nance,/players/n/nancela02.html,2015 (Pick 27),Larry Nance Jr.
5342,Kris Dunn,Kris Dunn,Kris Dunn,Kris Dunn,Kris Dunn,/players/d/dunnkr01.html,2016 (Pick 5),Kris Dunn
3154,Hassan Whiteside,Hassan Whiteside,Hassan Whiteside,Hassan Whiteside,Hassan Whiteside,/players/w/whiteha01.html,2010 (Pick 33),Hassan Whiteside
2846,Brook Lopez,Brook Lopez,Brook Lopez,Brook Lopez,Brook Lopez,/players/l/lopezbr01.html,2008 (Pick 10),Brook Lopez
3000,Tyreke Evans,Tyreke Evans,Tyreke Evans,Tyreke Evans,Tyreke Evans,/players/e/evansty01.html,2009 (Pick 4),Tyreke Evans
