,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
0,3640,Anthony Davis,,NOR,4.0,PF/C,25.6,74.0,43388,2664.0,/players/d/davisan02.html,Anthony Davis,Anthony Davis,Anthony Davis,1.7,3.2,2.15,2.62,1.2,3.52,1.595,3.238,NOR,6.0,3088.6,0.0,30.0,-1.55,0.8,True,1.0,1.0
1,5052,Karl-Anthony Towns,Restricted Free Agent,MIN,4.0,C,22.9,81.0,43386,2916.0,/players/t/townska01.html,Karl-Anthony Towns,Karl-Anthony Towns,Karl-Anthony Towns,4.0,0.8,3.37,0.31,4.86,-0.04,4.194999999999999,0.499,MIN,3.0,3078.3,0.0,22.9,-1.7,1.3,True,1.0,1.0
2,3001,James Harden,,HOU,4.0,PG/SG,29.1,77.0,43386,2695.0,/players/h/hardeja01.html,James Harden,James Harden,James Harden,6.6,0.1,4.96,-0.54,6.79,-0.71,6.493,-0.20700000000000002,HOU,9.0,3176.6,0.0,36.1,-0.9,-0.9,True,1.0,1.0
3,2999,Stephen Curry,,GSW,4.0,PG/SG,30.6,75.0,43388,2438.0,/players/c/curryst01.html,Stephen Curry,Stephen Curry,Stephen Curry,6.8,-0.2,6.75,0.05,8.0,0.23,7.155,-0.045999999999999985,GSW,9.0,2192.5,0.0,31.0,-0.9,-0.9,True,1.0,1.0
4,3701,Giannis Antetokounmpo,,MIL,4.0,SF/PF,23.9,78.0,43386,2690.5,/players/a/antetgi01.html,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,3.1,2.4,2.26,1.94,3.13,1.64,3.025,2.126,MIL,5.0,3036.9,0.0,31.2,-1.4,0.05,True,1.0,1.0
5,2718,Kevin Durant,Player OptionNew Contract,GSW,4.0,SF/PF,30.0,71.0,43388,2377.0,/players/d/duranke01.html,Kevin Durant,Kevin Durant,Kevin Durant,3.6,0.7,4.75,-0.78,4.7,-0.26,4.045,0.26399999999999996,GSW,11.0,3145.5,0.0,30.4,-1.4,0.05,True,1.0,1.0
6,3930,Nikola Jokic,New Contract,DEN,4.0,PF/C,23.1,75.0,43386,2550.0,/players/j/jokicni01.html,Nikola Jokic,Nikola Jokic,Nikola Jokic,4.0,2.1,3.54,1.58,5.43,3.16,4.383,2.366,DEN,3.0,2441.5,0.0,24.2,-1.55,0.8,True,1.0,1.0
7,3377,Kawhi Leonard,New TeamPlayer OptionInjury Prone,TOR,2.0,SG/SF,27.3,71.5,43386,2395.0,/players/l/leonaka01.html,Kawhi Leonard,Kawhi Leonard,Kawhi Leonard,2.6,1.9,4.14,0.99,2.02,3.05,2.58,1.9385999999999999,SAS,7.0,209.5,0.0,30.6,-1.25,-0.5,False,1.0,0.9
8,2011,LeBron James,New TeamNew Contract,LAL,4.0,SF/PF,33.8,77.0,43389,2733.5,/players/j/jamesle01.html,LeBron James,LeBron James,LeBron James,5.4,0.8,5.2,-0.45,6.47,0.5,5.7010000000000005,0.5265,CLE,15.0,3951.8,0.0,31.6,-1.4,0.05,False,1.0,0.9
9,3542,Damian Lillard,,POR,5.0,PG,28.3,74.0,43389,2700.5,/players/l/lillada01.html,Damian Lillard,Damian Lillard,Damian Lillard,5.4,-1.5,4.04,-0.66,5.67,-1.61,5.345,-1.449,POR,6.0,2842.5,0.0,30.6,-0.7,-1.0,True,1.0,1.0
